"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"Regar","TJ","Denau","TJ","Karategin  Route","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","68.2333","38.5","adlgaz-1-4041157-29","67.9","38.2667","www.calle.com","1935","1932","P000","tmcTJm0400b_023a"
"Denau","TJ","Termez","UZ","Karategin  Route","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","67.9","38.2667","www.calle.com","67.26667","37.233334","ADL4231515","1932","532","P000","tmcTJm0400b_024a"
"Termez","UZ","Balkh","AF","Karategin  Route","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","67.26667","37.233334","ADL4231515","66.9","36.75","TGN","532","22","P000","tmcTJm0400b_025a"
"Termez","UZ","loc05-tmc040918","UZ","Karategin  Route; Chegarachi","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","67.26667","37.233334","ADL4231515","66.5983","37.3925","www.calle.com","532","1989","P000","tmcTJm0400b_026a"
"Termez","UZ","Shaartuz","UZ","Karategin  Route","trd","cd","min","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","67.26667","37.233334","ADL4231515","68.1333","37.2667","adlgaz-1-4040852-2e","532","1963","P000","tmcTJm0400b_027a"
"Dushanbe","TJ","Nurek","TJ","Khatlon  Route","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","68.773331","38.561111","ADL4039335","69.35","38.3833","adlgaz-1-4040473-24","1068","1947","P000","tmcTJm0400b_028a"
"Nurek","TJ","Dangara","TJ","Khatlon  Route","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","69.35","38.3833","adlgaz-1-4040473-24","69.3667","37.8167","adlgaz-1-4039225-46","1947","1948","P000","tmcTJm0400b_029a"
"Dangara","TJ","Hulbuk","TJ","Khatlon  Route","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","69.3667","37.8167","adlgaz-1-4039225-46","69.5578","37.7778","www.calle.com","1948","1951","P000","tmcTJm0400b_030a"
"Hulbuk","TJ","Parkhar","AF","Khatlon  Route","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","69.5578","37.7778","www.calle.com","69.4017","37.4922","www.calle.com","1951","1945","P000","tmcTJm0400b_031a"
"Hulbuk","TJ","Kulob","TJ","Khatlon  Route","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","69.5578","37.7778","www.calle.com","69.7667","37.9167","adlgaz-1-4040111-03","1951","1940","P000","tmcTJm0400b_032a"
"Hulbuk","TJ","loc06-tmc040918","TJ","Khatlon  Route; Kolkhozabad","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","69.5578","37.7778","www.calle.com","68.6667","37.5833","adlgaz-1-4040032-23","1951","1952","P000","tmcTJm0400b_033a"
